pmid|doi|ttl|jn|pub|dis|pop|out|abs|eff
33256753|10.1186/s12966-020-01063-x|a physical activity coaching intervention can improve and maintain physical activity and health-related outcomes in adult ambulatory hospital patients: the healthy4u-2 randomised controlled trial|The international journal of behavioral nutrition and physical activity|2020-11-30|['Undefined']|['Adult']|['intra-abdominal fat', 'body mass index', 'self-efficacy']|The Healthy 4 U-2 study sought to evaluate the effect of a twelve-week, physical activity (PA) coaching intervention for changes and maintenance in PA, anthropometrics and health-related outcomes in adults presenting to an ambulatory hospital clinic. One hundred and twenty insufficiently active adults were recruited from an ambulatory hospital clinic and randomised to an intervention group that received an education session and five 20-min telephone sessions of PA coaching, or to a control group that received the education session only. ActiGraph GT3X accelerometers were used to measure moderate-to-vigorous physical activity (MVPA) at baseline, post-intervention (3-months) and follow-up (9-months). Secondary outcome measures (anthropometrics, PA self-efficacy, and health-related quality of life) were also assessed at the three time points. At baseline, the mean age and body mass index of participants were 53 ± 8 years and 31 ± 4 kg/m 2 , respectively. Relative to control, the intervention group increased objectively measured MVPA at post-intervention (p < 0.001) and 9 months follow-up (p < 0.001). At the 9-month follow-up the intervention group completed 22 min/day of MVPA (95% CI: 20 to 25 min/day), which is sufficient to meet the recommended PA guidelines. The intervention group exhibited beneficial changes in body mass (p < 0.001), waist circumference (p < 0.001), body mass index (p < 0.001), PA self-efficacy (p < 0.001), and health-related quality of life (p < 0.001) at the 9-month follow-up. This study demonstrates that a low contact PA coaching intervention results in beneficial changes in PA, anthropometrics and health-related outcomes in insufficiently active adults presenting to an ambulatory care clinic. The significant beneficial changes were measured at post-intervention and the 9-month follow-up, demonstrating a maintenance effect of the intervention. Prospectively registered on the Australian and New Zealand Clinical Trials Registry (ANZCTR, Trial registration number: ACTRN12619000036112 .|[{'npi': 'physical activity', 'out': 'body mass index', 'dis': 'Undefined', 'eff': 3}, {'npi': 'physical activity', 'out': 'self-efficacy', 'dis': 'Undefined', 'eff': 3}]
31743998|10.3233/JAD-190487|effects of a modified tai chi program on older people with mild dementia: a randomized controlled trial|Journal of Alzheimer's disease : JAD|2020-11-30|['Depression']|['Elderly']|['depression', 'dementia', 'activities of daily living', 'well-being', 'cognitive function', 'attention']|Tai Chi exercise is a non-pharmacological therapy that has received increased attention in recent years. A Tai Chi program has been specifically modified for older people with cognitive impairments by the research team. We aim to assess the effects of this Tai Chi program on mild dementia. Eighty older people with mild dementia were recruited and randomly assigned to a Tai Chi group or a control group. The Tai Chi group practiced the Tai Chi program three times a week for 10 months, while the control group continued receiving routine treatments. All participants were assessed for cognitive function, behavior/mood, and activities of daily living at baseline, 5 months, and 10 months. The Tai Chi group performed better than the control group. Repeated measures ANOVA revealed a significant group×time interaction in the Montreal Cognitive Assessment (MoCA). Further analysis of sub-items of the MoCA showed a significant time effect in naming and abstraction. It was statistically significant in both main effect of time and group×time interaction in the Neuropsychiatric Inventory (NPI) and Geriatric Depression Scale (GDS). Paired sample t test showed the Tai Chi group scored lower at 5 and 10 months in the NPI and at 10 months in the GDS compared with baseline. The Tai Chi group scored lower than the control group at 10 months in the NPI and GDS. The results suggest this Tai Chi program may help improve cognitive function and mental well-being for older adults with mild dementia.|[{'npi': 'tai chi', 'out': 'well-being', 'dis': 'Depression', 'eff': 3}, {'npi': 'tai chi', 'out': 'cognitive function', 'dis': 'Depression', 'eff': 3}, {'npi': 'physical activity', 'out': 'well-being', 'dis': 'Depression', 'eff': 3}, {'npi': 'physical activity', 'out': 'cognitive function', 'dis': 'Depression', 'eff': 3}]
33065208|10.1016/j.jpainsymman.2020.10.009|yoga practice predicts improvements in day-to-day pain in women with metastatic breast cancer|Journal of pain and symptom management|2020-10-14|['Cancer']|['Undefined']|['pain']|Women with metastatic breast cancer (MBC) experience a significant symptom burden, including cancer pain. Yoga is a mind-body discipline that has shown promise for alleviating cancer pain, but few studies have included patients with metastatic disease or examined the acute effects of yoga practice. To determine whether daily pain changed significantly during a randomized controlled trial of the Mindful Yoga program among women with MBC and whether time spent in yoga practice was related to daily pain. On alternate weeks during the intervention period, we collected daily measures of pain from a subset of 48 women randomized to either yoga (n = 30) or a support group condition (n = 18). We also assessed daily duration of yoga practice among patients randomized to yoga. Pain levels were low for women in both conditions, and no differential treatment effects were found on daily pain. However, among women randomized to yoga, a dose/response relationship was found between yoga practice duration and daily pain. When patients had spent relatively more time practicing yoga across two consecutive days, they were more likely to experience lower pain on the next day. This finding is consistent with an earlier MBC study. Meditation practice showed the strongest association with lower daily pain. Findings suggest that yoga practice (meditation practice in particular) is associated with acute improvements in cancer pain, and that yoga interventions may be more impactful if tested in a sample of patients with advanced cancer in which pain is relatively elevated.|[{'npi': 'meditation', 'out': 'pain', 'dis': 'Cancer', 'eff': 3}, {'npi': 'yoga', 'out': 'pain', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'pain', 'dis': 'Cancer', 'eff': 3}]
33491602|10.1080/17482631.2021.1874771|picture perfect? gazing into girls' health, physical activity, and nutrition through photovoice|International journal of qualitative studies on health and well-being|2021-12-01|['Overweight']|['Adolescent']|['weight']|Background: Women face contradictions regarding their health: Pressure to be feminine, but also athletic; Criticism for being too sporty or muscular, but equally so for being perceived as lazy or overweight. These complexities are perpetuated through media and discourse. Purpose: Using a feminist post-structural approach and photovoice, this study explored health, physical activity, and nutrition in adolescent girls and young women. Methods: Photovoice enables reflection, promotes dialogue, and sparks change. The process involved conducting a workshop, collecting photos, and participatory analysis sessions, which engaged the participants (n = 7, ages 13-26) in photo selection, contextualization, and codifying. Results: This resulted in three themes: First, (Breaking) Stereotypes, in which participants identified gender norms, conflicts, and contradictions; Second, Emotional Safety, or the contexts in which girls and young women feel confident and comfortable; Finally, Being Outside in Nature emerged as significant. Each theme is supported by quotations and photographs. This work suggests being outside in nature provides important context for girls and young women to feel emotionally safe, such that they may engage in the complex navigation of competing discourses surrounding health.|[{'npi': 'physical activity', 'out': 'weight', 'dis': 'Overweight', 'eff': 3}]
33549453|10.1016/j.numecd.2020.11.005|effect of caloric restriction with or without physical activity on body composition and epicardial fat in type 2 diabetic patients: a pilot randomized controlled trial|Nutrition, metabolism, and cardiovascular diseases : NMCD|2021-03-10|['Cardiovascular diseases', 'Diabetes', 'Overweight']|['Undefined']|['cardiovascular risk', 'weight', 'weight loss', 'fat mass']|There is debate over the independent and combined effects of caloric restriction (CR) and physical activity (PA) on reduction in fat mass and in epicardial fat thickness. We compared the impact of a similar energy deficit prescription by CR or by CR combined with PA on total fat mass, epicardial fat thickness, and cardiometabolic profile in individuals with type 2 diabetes. In this 16-week randomized controlled study, 73 individuals were randomly enrolled to receive: 1) a monthly motivational phone call (Control), 2) a caloric deficit of -700 kilocalories/day (CR), or 3) a caloric deficit of -500 kilocalories/day combined with a PA program of -200 kilocalories/day (CR&PA). Total fat mass, epicardial fat, and cardiometabolic profile were measured at baseline and after 16 weeks. While comparable weight loss occurred in both intervention groups (-3.9 ± 3.5 kg [CR], -5.1 ± 4.7 kg [CR&PA], -0.2 ± 2.9 kg [Control]), changes in total fat mass were significantly different between all groups (-2.4 ± 2.9 kg [CR], -4.5 ± 3.4 kg [CR&PA], +0.1 ± 2.1 kg [Control]; p < 0.05) as well as epicardial fat thickness (-0.4 ± 1.6 mm [CR], -1.4 ± 1.4 mm [CR&PA], +1.1 ± 1.3 mm [Control]; p < 0.05). There were no significant differences in trends for cardiometabolic parameters improvement between groups. For a similar energy deficit prescription and comparable weight loss, the combination of CR&PA provides a greater reduction in fat mass and epicardial fat thickness than CR alone in individuals with comparable weight loss and with a similar energy deficit prescription. These results, however, do not translate into significant improvements in cardiometabolic profiles. CLINICALTRIALS. NCT01186952.|[{'npi': 'physical activity', 'out': 'weight', 'dis': 'Cardiovascular diseases', 'eff': 3}, {'npi': 'physical activity', 'out': 'weight', 'dis': 'Diabetes', 'eff': 3}, {'npi': 'physical activity', 'out': 'weight', 'dis': 'Overweight', 'eff': 3}, {'npi': 'physical activity', 'out': 'weight loss', 'dis': 'Cardiovascular diseases', 'eff': 3}, {'npi': 'physical activity', 'out': 'weight loss', 'dis': 'Diabetes', 'eff': 3}, {'npi': 'physical activity', 'out': 'fat mass', 'dis': 'Cardiovascular diseases', 'eff': 3}, {'npi': 'physical activity', 'out': 'fat mass', 'dis': 'Diabetes', 'eff': 3}, {'npi': 'physical activity', 'out': 'fat mass', 'dis': 'Overweight', 'eff': 3}, {'npi': 'physical activity', 'out': 'weight loss', 'dis': 'Overweight', 'eff': 3}]
33657337|10.3138/jvme-2020-0065|understanding incoming canadian and us veterinary students' attitudes and perceptions of their dietary habits and levels of physical activity|Journal of veterinary medical education|2021-03-03|['Undefined']|['Undefined']|['stress', 'psychological distress', 'well-being']|As critical components of individual well-being, nutrition and physical activity have important physical and psychological implications. Veterinary students face demanding schedules and potentially high rates of psychological distress. Though veterinary students' strategies for healthy eating have been explored, factors influencing their ability to achieve a healthy diet are less understood. This study assesses incoming veterinary students' perceived attitudes to their dietary habits and physical activity levels. Incoming students ( n = 322) at five Canadian and five randomly selected US veterinary schools completed a questionnaire inquiring about demographic information, dietary attitudes and habits, and activity levels. More than half (58%) of students perceived their diet to be moderately healthy . A desire to feel better and have more energy was the most reported (79%) motivating factor to modifying personal eating habits and was significantly associated with improved odds of having a perceived healthy diet ( OR = 2.22, p < .024). A busy lifestyle was perceived as a barrier to changing current eating habits by 92% of respondents. Students reporting a desire to maintain their health ( OR = 3.42, p < .001) and moderate ( OR = 2.81, p < .003) or high ( OR = 2.30, p < .044) routine physical activity levels were also more likely to perceive their diet as healthy . Findings show that incoming veterinary students' perceptions may influence their goals of achieving a healthy lifestyle. An understanding of incoming veterinary students' barriers and motivators could be applied in future research to assist students in achieving personalized goals.|[{'npi': 'physical activity', 'out': 'psychological distress', 'dis': 'Undefined', 'eff': 3}, {'npi': 'diet', 'out': 'stress', 'dis': 'Undefined', 'eff': 3}, {'npi': 'diet', 'out': 'psychological distress', 'dis': 'Undefined', 'eff': 3}, {'npi': 'diet', 'out': 'well-being', 'dis': 'Undefined', 'eff': 3}, {'npi': 'physical activity', 'out': 'stress', 'dis': 'Undefined', 'eff': 3}, {'npi': 'physical activity', 'out': 'well-being', 'dis': 'Undefined', 'eff': 3}, {'npi': 'healthy diet', 'out': 'stress', 'dis': 'Undefined', 'eff': 3}, {'npi': 'healthy diet', 'out': 'psychological distress', 'dis': 'Undefined', 'eff': 3}, {'npi': 'healthy diet', 'out': 'well-being', 'dis': 'Undefined', 'eff': 3}]
32890199|10.1249/MSS.0000000000002503|resistance exercise dosage in men with prostate cancer: systematic review, meta-analysis, and meta-regression|Medicine and science in sports and exercise|2021-03-01|['Cancer']|['Elderly']|['fat mass', 'body mass index', 'physical functioning', 'strength', 'muscle strength', 'adherence']|Resistance exercise improves an array of treatment-related adverse effects in men with prostate cancer; however, the minimal dosage required is unknown. We systematically reviewed the resistance training effects in prostate cancer patients to determine the minimal dosage regarding the exercise components (type, duration, volume, and intensity) on body composition, physical function, muscle strength, cardiorespiratory fitness, body mass index, and prostate-specific antigen. Using PRISMA guidelines, MEDLINE, CINAHL, EMBASE, SPORTDiscus, and Web of Science databases were searched. Eligible randomized controlled trials examined prostate cancer patients undertaking resistance-based exercise programs during or after treatment. Meta-analysis was undertaken when more than three studies were included. Associations between mean differences and exercise components were tested by univariate and multivariate meta-regression analysis. Twenty-three articles describing 21 trials and involving 1748 prostate cancer patients were included. Exercise improved fat mass (-1% in body fat and -0.6 kg in fat mass), lean mass (~0.5 kg in lean and appendicular lean mass), functional capacity (i.e., chair rise, 400-m test, 6-m fast walk, and stair climb tests), and fitness outcomes (i.e., V̇O2peak and muscle strength) (P = 0.040-<0.001) with no change in body mass index or prostate-specific antigen (P = 0.440-0.735). Meta-regression indicated no association between exercise type, resistance training duration, weekly volume and intensity, and primary outcomes (P = 0.075-0.965). There was a significant association between exercise intensity and chest press muscle strength (favoring moderate intensity, P = 0.012), but not in other secondary outcomes. In untrained older men with prostate cancer initiating an exercise program, lower volume at moderate to high intensity is as effective as higher volume resistance training for enhancing body composition, functional capacity, and muscle strength in the short term. A low exercise dosage may help reduce barriers to exercise and enhance adherence.|[{'npi': 'resistance training', 'out': 'physical functioning', 'dis': 'Cancer', 'eff': 3}, {'npi': 'resistance training', 'out': 'fat mass', 'dis': 'Cancer', 'eff': 3}, {'npi': 'resistance training', 'out': 'body mass index', 'dis': 'Cancer', 'eff': 3}, {'npi': 'resistance training', 'out': 'strength', 'dis': 'Cancer', 'eff': 3}, {'npi': 'resistance training', 'out': 'muscle strength', 'dis': 'Cancer', 'eff': 3}, {'npi': 'resistance training', 'out': 'adherence', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'fat mass', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'body mass index', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'physical functioning', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'strength', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'muscle strength', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'adherence', 'dis': 'Cancer', 'eff': 3}]
32886189|10.1007/s00198-020-05611-w|five-year follow-up results of aerobic and impact training on bone mineral density in early breast cancer patients|Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA|2021-03-01|['Cancer', 'Osteoporosis']|['Adult', 'Elderly']|['bone mineral density', 'bone density', 'osteoporosis', 'physical performance']|A 12-month exercise program reversibly prevented hip bone loss in premenopausal women with early breast cancer. The bone-protective effect was maintained for 2 years after the end of the program but was lost thereafter. Breast cancer survivors are at an increased risk for osteoporosis and fracture. This 5-year follow-up of a randomized impact exercise intervention trial evaluated the maintenance of training effects on bone among breast cancer patients. Five hundred seventy-three early breast cancer patients aged 35-68 years and treated with adjuvant therapy were allocated into a 12-month exercise program or a control group. Four hundred forty-four patients (77%) were included in the 5-year analysis. The exercise intervention comprised weekly supervised step aerobics, circuit exercises, and home training. Areal bone mineral density (aBMD) was measured by dual-energy X-ray absorptiometry. Physical activity was estimated in metabolic equivalent (MET) hours per week and physical performance assessed by 2-km walking and figure-8 running tests. In premenopausal patients, the 12-month exercise program maintained femoral neck (FN) and total hip (TH) aBMD for 3 years, but the protective effect was lost thereafter. The mean FN aBMD change in the exercise and control groups was - 0.2% and - 1.5% 1 year, - 1.1% and - 2.1% 3 years and - 3.3% versus - 2.4% 5 years after the beginning of the intervention, respectively. Lumbar spine (LS) bone loss was not prevented in premenopausal women and no training effects on aBMD were seen in postmenopausal women. The main confounding element of the study was the unexpected rise in physical activity among patients in the control group. The physical performance improved among premenopausal women in the exercise group compared with the controls. The 12-month exercise program prevented FN and TH bone loss in premenopausal breast cancer patients for 3 years. The bone-protective effect was reversible and lost thereafter.|[{'npi': 'physical activity', 'out': 'bone mineral density', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'bone mineral density', 'dis': 'Osteoporosis', 'eff': 3}, {'npi': 'physical activity', 'out': 'bone density', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'bone density', 'dis': 'Osteoporosis', 'eff': 3}, {'npi': 'physical activity', 'out': 'physical performance', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'physical performance', 'dis': 'Osteoporosis', 'eff': 3}, {'npi': 'running', 'out': 'bone mineral density', 'dis': 'Osteoporosis', 'eff': 3}, {'npi': 'running', 'out': 'bone density', 'dis': 'Cancer', 'eff': 3}, {'npi': 'running', 'out': 'bone density', 'dis': 'Osteoporosis', 'eff': 3}, {'npi': 'running', 'out': 'osteoporosis', 'dis': 'Cancer', 'eff': 3}, {'npi': 'running', 'out': 'osteoporosis', 'dis': 'Osteoporosis', 'eff': 3}, {'npi': 'running', 'out': 'physical performance', 'dis': 'Osteoporosis', 'eff': 3}, {'npi': 'walking', 'out': 'bone mineral density', 'dis': 'Cancer', 'eff': 3}, {'npi': 'walking', 'out': 'bone mineral density', 'dis': 'Osteoporosis', 'eff': 3}, {'npi': 'walking', 'out': 'bone density', 'dis': 'Cancer', 'eff': 3}, {'npi': 'walking', 'out': 'bone density', 'dis': 'Osteoporosis', 'eff': 3}, {'npi': 'walking', 'out': 'osteoporosis', 'dis': 'Cancer', 'eff': 3}, {'npi': 'walking', 'out': 'physical performance', 'dis': 'Cancer', 'eff': 3}, {'npi': 'walking', 'out': 'physical performance', 'dis': 'Osteoporosis', 'eff': 3}, {'npi': 'physical activity', 'out': 'osteoporosis', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'osteoporosis', 'dis': 'Osteoporosis', 'eff': 3}, {'npi': 'running', 'out': 'bone mineral density', 'dis': 'Cancer', 'eff': 3}, {'npi': 'running', 'out': 'physical performance', 'dis': 'Cancer', 'eff': 3}, {'npi': 'walking', 'out': 'osteoporosis', 'dis': 'Osteoporosis', 'eff': 3}]
32515284|10.1177/1403494820917532|interventions to promote work ability by increasing physical activity among workers with physically strenuous jobs: a scoping review|Scandinavian journal of public health|2021-03-01|['Undefined']|['Undefined']|['strength', 'work ability']|Aims : The potential benefits of workplace physical activity (PA) interventions are in improving both health and important workplace outcomes. Despite the differences in PA level between physically strenuous and inactive work, the literature reporting the effectiveness of the interventions does not usually differentiate physically active and inactive jobs. The aim of the current study was therefore to collect and synthesise research evidence on workplace PA interventions to promote work ability specifically among workers in physically strenuous jobs by means of a scoping review. Methods : The databases Medline, Cochrane Central and Scopus were used to identify interventions to promote work ability by increasing PA among workers in physically strenuous jobs. An iterative method was used to obtain an overview of the study elements and to extract details on the study design, sample, intervention, outcomes and effectiveness. Results : A total of 47 studies evaluating eight categories of interventions were found. Out of these, 18 reported significant effects on work ability. Positive results came from a range of different interventions, including aerobic exercise, strength training, combined aerobic exercise and strength training, stretching, yoga, consultation and tailored physical exercise programmes.  Conclusions : Few interventions were effective in promoting work ability by increasing PA among workers in physically strenuous jobs. In particular, trials based on the demands of work, multimodal interventions and applying wearable technology are needed .|[{'npi': 'physical activity', 'out': 'work ability', 'dis': 'Undefined', 'eff': 3}, {'npi': 'yoga', 'out': 'work ability', 'dis': 'Undefined', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'work ability', 'dis': 'Undefined', 'eff': 3}]
33165994|10.1002/ejp.1699|physical activity and cold pain tolerance in the general population|European journal of pain (London, England)|2021-03-01|['Undefined']|['Undefined']|['pain']|The relationship between habitual physical activity (PA) and experimental pain tolerance has been investigated in small samples of young, healthy and/or single-sex volunteers. We used a large, population-based sample to assess this relationship in men and women with and without chronic pain. We used data from the sixth and seventh Tromsø Study surveys (2007-2008; 2015-2016), with assessed pain tolerance of participants with the cold pressor test (CPT: dominant hand in circulating cold water at 3°C, maximum test time 106 s), and self-reported total amount of habitual PA in leisure time (n = 19,087), exercise frequency (n = 19,388), exercise intensity (n = 18,393) and exercise duration (n = 18,343). A sub-sample had PA measured by accelerometers (n = 4,922). We used Cox regression to compare CPT tolerance times between self-reported PA levels. For accelerometer-measured PA, we estimated hazard ratios for average daily activity counts, and for average daily minutes of moderate-to-vigorous PA done in bouts lasting 10 min or more. Models were tested for PA-sex, and PA-chronic pain and PA-moderate-to-severe chronic pain interactions. Leisure-time PA, exercise intensity and exercise duration were positively associated with CPT tolerance (p < .001; p = .011; p < .001). More PA was associated with higher CPT tolerance. At high levels of leisure-time PA and exercise intensity, men had a significantly higher CPT tolerance than women. Accelerometer-measured PA was not associated with CPT tolerance. This study is one of the first to show that higher self-reported habitual PA was connected to higher experimental pain tolerance in a population-based sample, especially for men. This was not found for accelerometer-measured PA. This study finds that higher level of self-reported leisure-time physical activity is associated with increased cold pressor pain tolerance in a large population-based sample. Though present in both sexes, the association is strongest among men. Despite the robust dose-response relationship between pain tolerance and self-reported activity level, no such relationship was found for accelerometer-measured activity, reflecting a possible discrepancy in the aspect of physical activity measured. Though the study design does not permit causal conclusions, the findings suggest that increasing physical activity may increase pain tolerance in the general population.|[{'npi': 'physical activity', 'out': 'pain', 'dis': 'Undefined', 'eff': 1}]
