"npi","nb_article","annee"
"'endurance training'","1.0","1975.0"
"'endurance training'","1.0","1977.0"
"'muscle stretching exercises'","1.0","1977.0"
"'endurance training'","2.0","1984.0"
"'muscle stretching exercises'","1.0","1984.0"
"'alcoholic beverages', 'endurance training'","1.0","1984.0"
"'creatine'","1.0","1984.0"
"'coffee', 'diet', 'dietary carbohydrates', 'niacin', 'creatine', 'food', 'amino acids'","1.0","1984.0"
"'dietary carbohydrates', 'endurance training'","3.0","1990.0"
"'endurance training'","2.0","1990.0"
"'muscle stretching exercises'","2.0","1990.0"
"'diet'","1.0","1990.0"
"'endurance training', 'aerobic exercise'","1.0","1990.0"
"'fasting', 'endurance training'","1.0","1990.0"
"'weight lifting'","1.0","1990.0"
"'beverages', 'endurance training'","1.0","1990.0"
"'endurance training', 'muscle stretching exercises', 'pulmonary rehabilitation'","1.0","1990.0"
"'muscle stretching exercises', 'aerobic exercise'","1.0","1990.0"
"'muscle relaxation', 'endurance training'","1.0","1990.0"
"'fasting'","1.0","1990.0"
"'muscle stretching exercises', 'diet', 'vitamin c', 'vitamins', 'food', 'carnitine'","1.0","1990.0"
"'psychotherapy', 'counseling'","1.0","1990.0"
"'cryotherapy', 'sunscreens', 'chia'","1.0","1990.0"
"'diet', 'dietary carbohydrates', 'endurance training', 'dietary supplement'","1.0","1990.0"
"'music therapy', 'counseling'","1.0","1990.0"
"'endurance training', 'iron'","1.0","1990.0"
"'magnesium'","1.0","1990.0"
"'endurance training', 'creatine'","1.0","1990.0"
"'health education'","1.0","1990.0"
"'beverages', 'endurance training', 'calcium'","1.0","1990.0"
"'aerobic exercise'","1.0","1990.0"
"'muscle stretching exercises', 'psychotherapy'","1.0","1990.0"
"'vitamins'","1.0","1990.0"
"'carnitine', 'endurance training'","1.0","1990.0"
"'dietary carbohydrates', 'diet', 'endurance training'","1.0","1990.0"
"'glutamine'","1.0","1990.0"
"'endurance training'","3.0","1989.0"
"'weight lifting', 'endurance training'","1.0","1989.0"
"'cryotherapy'","1.0","1989.0"
"'beverages'","1.0","1989.0"
"'endurance training', 'calcium'","1.0","1989.0"
"'vitamin c', 'vitamins', 'fruit', 'vegetables'","1.0","1989.0"
"'dance therapy'","1.0","1989.0"
"'muscle stretching exercises', 'diet'","1.0","1989.0"
"'beverages', 'endurance training'","1.0","1989.0"
"'food'","1.0","1989.0"
"'beverages', 'sodium bicarbonate'","1.0","1989.0"
"'vitamins', 'minerals', 'cannabis', 'coffee'","1.0","1989.0"
"'dietary carbohydrates'","1.0","1989.0"
"'diet'","1.0","1989.0"
"'dairy products', 'diet', 'calcium'","1.0","1989.0"
"'psychotherapy', 'muscle stretching exercises', 'relaxation therapy', 'aerobic exercise'","1.0","1989.0"
"'arginine'","1.0","1989.0"
"'coffee', 'diet', 'endurance training'","1.0","1989.0"
"'muscle stretching exercises', 'walking'","1.0","1989.0"
"'endurance training', 'glucose polymer solution'","1.0","1989.0"
"'beverages', 'dietary carbohydrates'","1.0","1989.0"
"'endurance training'","3.0","1982.0"
"'wrestling'","1.0","1982.0"
"'coffee'","1.0","1982.0"
"'endurance training'","3.0","1988.0"
"'dance therapy'","2.0","1988.0"
"'health education'","2.0","1988.0"
"'hops'","1.0","1988.0"
"'electric stimulation therapy', 'physiotherapy'","1.0","1988.0"
"'endurance training', 'fasting', 'aerobic exercise'","1.0","1988.0"
"'fasting', 'endurance training', 'diet'","1.0","1988.0"
"'endurance training', 'iron'","1.0","1988.0"
"'physiotherapy'","1.0","1988.0"
"'zinc sulfate', 'diet', 'magnesium', 'minerals', 'iron', 'dietary supplement'","1.0","1988.0"
"'muscle stretching exercises'","1.0","1988.0"
"'muscle stretching exercises', 'walking'","1.0","1988.0"
"'dance therapy', 'health education'","1.0","1988.0"
"'massage'","1.0","1988.0"
"'dietary carbohydrates', 'weight lifting', 'diet'","1.0","1988.0"
"'counseling'","1.0","1988.0"
"'music therapy', 'muscle stretching exercises', 'aerobic exercise'","1.0","1988.0"
"'dietary carbohydrates', 'endurance training'","1.0","1988.0"
"'rice'","1.0","1988.0"
"'weight lifting', 'resistance training'","1.0","1988.0"
"'diet', 'vegetarian diet', 'dietary carbohydrates', 'endurance training', 'iron'","1.0","1988.0"
"'muscle stretching exercises', 'diet', 'arginine', 'resistance training'","1.0","1988.0"
"'diet', 'dietary carbohydrates', 'endurance training', 'food'","1.0","1988.0"
"'beverages', 'endurance training'","1.0","1988.0"
"'endurance training', 'resistance training'","1.0","1988.0"
"'endurance training'","3.0","1986.0"
"'endurance training', 'muscle stretching exercises'","3.0","1986.0"
"'muscle stretching exercises'","1.0","1986.0"
"'folic acid', 'iron'","1.0","1986.0"
"'minerals'","1.0","1986.0"
