"out","nb_article","annee"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max'","2.0","1986.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","2.0","1986.0"
"'sport performance|physiological performance|heart rate'","2.0","1986.0"
"'sport performance|health|rehabilitation'","1.0","1986.0"
"'sport performance|physiological performance|body composition', 'sport performance|physical performance|endurance performance|aerobic performance|vo2max'","1.0","1986.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|running performance'","1.0","1986.0"
"'sport performance|health|rehabilitation|endurance development|cardiovascular endurance'","1.0","1986.0"
"'sport performance|physical performance|endurance performance', 'sport performance|health|injuries +  illness prevention|physiologic disturbances|glycogen depletion'","1.0","1986.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume'","1.0","1986.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max', 'sport performance|physiological performance|muscle metabolism|muscle glycogen', 'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","1.0","1986.0"
"'sport performance|physiological performance|cardiorespiratory performance|cardiorespiratory fitness', 'sport performance|physical performance|power performance|aerobic power'","1.0","1986.0"
"'sport performance|health|cardiovascular health', 'sport performance|physical performance|endurance performance|aerobic performance|vo2max', 'sport performance|physical performance|physical work capacity', 'sport performance|physical performance|exercise performance'","1.0","1986.0"
"'sport performance|physiological performance|bone health|bone loss'","1.0","1986.0"
"'sport performance|physical performance|endurance performance', 'sport performance|physical performance|exercise performance', 'sport performance|physiological performance|homeostasis', 'sport performance|physiological performance|homeostasis|physiological homeostasis', 'sport performance|physiological performance|homeostasis|cardiovascular homeostasis', 'sport performance|physiological performance|homeostasis|vascular homeostasis', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","1986.0"
"'sport performance|health|rehabilitation'","1.0","1983.0"
"'sport performance|health|injuries|shoulder injuries'","1.0","1983.0"
"'sport performance|physiological performance|body composition', 'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|appetite', 'sport performance|physiological performance|body composition|body fat', 'sport performance|health|rehabilitation'","1.0","1983.0"
"'sport performance|physical performance|physical work capacity'","1.0","1983.0"
"'sport performance|physical performance|exercise performance'","1.0","1983.0"
"'sport performance|physiological performance|heart rate'","3.0","1989.0"
"'sport performance|health|rehabilitation'","2.0","1989.0"
"'sport performance|health|organ system/region illnesses|neurological illnesses|muscle weakness', 'sport performance|health|rehabilitation'","1.0","1989.0"
"'sport performance|physiological performance|muscle metabolism|lactate levels'","1.0","1989.0"
"'sport performance|health|organ system/region illnesses|respiratory illnesses|cough'","1.0","1989.0"
"'sport performance|physical performance|endurance performance|endurance exercise performance'","1.0","1989.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","1989.0"
"'sport performance|physiological performance|homeostasis|blood glucose homeostasis|glucose levels'","1.0","1989.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max'","1.0","1989.0"
"'sport performance|physical performance|exercise performance'","1.0","1989.0"
"'sport performance|mental performance|perceived exertion'","1.0","1989.0"
"'sport performance|health|injuries +  illness prevention|physiologic disturbances|glycogen depletion'","1.0","1989.0"
"'sport performance|physical performance'","1.0","1989.0"
"'sport performance|mental performance|emotion management|stress management|stress'","1.0","1989.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","1989.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume'","1.0","1989.0"
"'sport performance|health|injuries +  illness prevention|physiologic disturbances|menstrual dysfunction'","1.0","1989.0"
"'sport performance|physical performance|endurance performance|endurance capacity', 'sport performance|physical performance|exercise performance'","1.0","1989.0"
"'sport performance|physiological performance|bone health|bone loss'","1.0","1989.0"
