"sport","nb_article","annee"
"'various'","1.0","1966.0"
"'cycling'","2.0","1982.0"
"'various'","1.0","1982.0"
"'running', 'jogging'","1.0","1982.0"
"'running'","1.0","1982.0"
"'running', 'cycling'","1.0","1981.0"
"'various'","1.0","1981.0"
"'various'","1.0","1978.0"
"'various'","1.0","2021.0"
"'cycling'","1.0","2021.0"
"'soccer', 'football'","1.0","2021.0"
"'football'","1.0","2021.0"
"'various'","1.0","1976.0"
"'various'","1.0","1972.0"
"'various'","1.0","1971.0"
"'various'","1.0","1970.0"
"'various'","2.0","1977.0"
"'various'","4.0","1983.0"
"'baseball', 'basketball', 'football', 'swimming', 'tennis', 'skiing', 'rowing'","1.0","1983.0"
"'various'","5.0","1984.0"
"'running', 'marathon'","1.0","1984.0"
"'various'","7.0","1985.0"
"'cycling'","5.0","1985.0"
"'running', 'marathon'","2.0","1985.0"
"'running', 'swimming'","1.0","1985.0"
"'running'","1.0","1985.0"
"'football', 'hockey', 'gymnastics'","1.0","1985.0"
"'running', 'cycling'","1.0","1985.0"
"'running', 'cycling', 'swimming'","1.0","1985.0"
"'various'","9.0","1987.0"
"'cycling'","6.0","1987.0"
"'running'","2.0","1987.0"
"'soccer', 'running'","1.0","1987.0"
"'running', 'swimming', 'triathlon', 'cycling'","1.0","1987.0"
"'tennis'","1.0","1987.0"
"'running', 'marathon'","1.0","1987.0"
"'various'","10.0","1986.0"
"'cycling'","2.0","1986.0"
"'running'","2.0","1986.0"
"'running', 'cycling', 'triathlon'","1.0","1986.0"
"'jogging', 'skiing'","1.0","1986.0"
"'swimming', 'basketball', 'rowing'","1.0","1986.0"
"'various'","12.0","1989.0"
"'running'","4.0","1989.0"
"'athletics'","3.0","1989.0"
"'cycling'","2.0","1989.0"
"'running', 'gymnastics'","1.0","1989.0"
"'swimming'","1.0","1989.0"
"'various'","21.0","1990.0"
"'running'","3.0","1990.0"
"'running', 'cycling', 'triathlon'","1.0","1990.0"
"'running', 'swimming', 'triathlon', 'cycling'","1.0","1990.0"
"'running', 'rowing'","1.0","1990.0"
"'football'","1.0","1990.0"
"'running', 'swimming', 'cycling', 'triathlon'","1.0","1990.0"
"'cycling'","1.0","1990.0"
"'running', 'cycling'","1.0","1990.0"
"'swimming'","1.0","1990.0"
"'various'","21.0","1988.0"
"'running'","3.0","1988.0"
"'cycling'","2.0","1988.0"
"'skiing'","1.0","1988.0"
"'football'","1.0","1988.0"
"'hockey', 'cycling', 'skating'","1.0","1988.0"
"'various'","28.0","1994.0"
"'cycling'","4.0","1994.0"
"'running'","1.0","1994.0"
"'running', 'swimming', 'cycling'","1.0","1994.0"
"'triathlon'","1.0","1994.0"
"'running', 'swimming'","1.0","1994.0"
"'running', 'swimming', 'triathlon', 'cycling'","1.0","1994.0"
"'rowing'","1.0","1994.0"
"'running', 'marathon'","1.0","1994.0"
"'swimming', 'athletics'","1.0","1994.0"
"'soccer'","1.0","1994.0"
"'tennis'","1.0","1994.0"
"'running', 'cycling', 'swimming'","1.0","1994.0"
"'running', 'cycling', 'rowing'","1.0","1994.0"
"'various'","31.0","1991.0"
"'cycling'","8.0","1991.0"
"'football'","3.0","1991.0"
"'running', 'marathon'","2.0","1991.0"
